ID	type	hardlevel	parentID	stage	location	iconType	title	description	scene	buttonTitle
1	10	1	0	1	Location1	1	TEXT221	TEXT304	8	1-1
2	1	2	1	1	Location2	1	TEXT221	TEXT304	8	2-1
3	2	2	2	1	Location3	11	TEXT221	TEXT303	8	2-2
4	1	3	3	1	Location4	1	TEXT221	TEXT304	6	2-3
5	2	3	4	1	Location5	11	TEXT221	TEXT303	6	2-4
6	1	4	5	1	Location6	1	TEXT223	TEXT304	6	3-1
7	2	4	6	1	Location7	11	TEXT223	TEXT303	6	3-2
8	1	5	7	1	Location8	1	TEXT223	TEXT304	6	3-3
9	2	5	8	1	Location9	11	TEXT223	TEXT303	7	3-4
10	1	6	9	1	Location10	1	TEXT223	TEXT304	7	3-5
11	2	6	10	1	Location11	11	TEXT223	TEXT303	11	3-6
12	1	7	11	1	Location12	1	TEXT213	TEXT304	8	4-1
13	2	7	12	1	Location13	11	TEXT213	TEXT303	11	4-2
14	1	8	13	1	Location14	1	TEXT213	TEXT304	11	4-3
15	2	8	14	1	Location15	11	TEXT213	TEXT303	11	4-4
16	1	9	15	1	Location16	1	TEXT213	TEXT304	6	4-5
17	2	9	16	1	Location17	11	TEXT213	TEXT303	8	4-6
18	1	10	17	1	Location18	2	TEXT222	TEXT304	11	5-1
19	2	10	18	1	Location19	12	TEXT222	TEXT303	10	5-2
20	1	11	19	1	Location20	2	TEXT222	TEXT304	10	5-3
21	2	11	20	1	Location21	12	TEXT222	TEXT303	10	5-4
22	1	12	21	1	Location22	2	TEXT222	TEXT304	7	5-5
23	2	12	22	1	Location23	12	TEXT222	TEXT303	7	5-6
24	1	13	23	1	Location24	2	TEXT224	TEXT304	7	6-1
25	2	13	24	1	Location25	12	TEXT224	TEXT303	7	6-2
26	1	14	25	1	Location26	2	TEXT224	TEXT304	7	6-3
27	2	14	26	1	Location27	12	TEXT224	TEXT303	10	6-4
28	1	15	27	1	Location28	2	TEXT224	TEXT304	9	6-5
29	2	15	28	1	Location29	12	TEXT224	TEXT303	9	6-6
30	1	16	29	1	Location30	2	TEXT212	TEXT304	10	7-1
31	2	16	30	1	Location31	12	TEXT212	TEXT303	11	7-2
32	1	17	31	1	Location32	2	TEXT212	TEXT304	10	7-3
33	2	17	32	1	Location33	12	TEXT212	TEXT303	7	7-4
34	1	18	33	1	Location34	2	TEXT212	TEXT304	10	7-5
35	2	18	34	1	Location35	12	TEXT212	TEXT303	10	7-6
36	1	19	35	1	Location36	3	TEXT202	TEXT304	6	8-1
37	2	19	36	1	Location37	13	TEXT202	TEXT303	7	8-2
38	1	20	37	1	Location38	3	TEXT202	TEXT304	6	8-3
39	2	20	38	1	Location39	13	TEXT202	TEXT303	6	8-4
40	1	21	39	1	Location40	3	TEXT202	TEXT304	8	8-5
41	2	21	40	1	Location41	13	TEXT202	TEXT303	9	8-6
42	1	22	41	1	Location42	3	TEXT214	TEXT304	9	9-1
43	2	22	42	1	Location43	13	TEXT214	TEXT303	9	9-2
44	1	23	43	1	Location44	3	TEXT214	TEXT304	8	9-3
45	2	23	44	1	Location45	13	TEXT214	TEXT303	8	9-4
46	1	24	45	1	Location46	3	TEXT214	TEXT304	8	9-5
47	2	24	46	1	Location47	13	TEXT214	TEXT303	6	9-6
48	1	25	47	1	Location48	3	TEXT201	TEXT304	10	10-1
49	2	25	48	1	Location49	13	TEXT201	TEXT303	6	10-2
50	1	26	49	1	Location50	3	TEXT201	TEXT304	8	10-3
51	2	26	50	1	Location51	13	TEXT201	TEXT303	11	10-4
52	1	27	51	1	Location52	3	TEXT201	TEXT304	11	10-5
53	2	27	52	1	Location53	13	TEXT225	TEXT303	11	10-6
54	1	28	53	1	Location54	3	TEXT225	TEXT304	11	10-7
55	2	28	54	1	Location55	13	TEXT225	TEXT303	11	10-8
56	1	29	55	1	Location56	3	TEXT225	TEXT304	7	10-9
57	2	29	56	1	Location57	13	TEXT225	TEXT303	6	10-10
58	1	30	57	1	Location58	3	TEXT215	TEXT304	11	X-
59	2	0	-1	1	Location59	1	-	-		-
60	1	0	-1	1	Location60	1	-	-		-
61	2	0	-1	1	Location61	1	-	-		-
62	1	0	-1	1	Location62	1	-	-		-
63	1	0	-1	1	Location63	1	-	-		-
64	1	0	-1	1	Location64	1	-	-		-
65	50	1	-1	1	Location65	21	TEXT203	TEXT302	8	-
66	50	1	-1	1	Location66	21	TEXT204	TEXT302	11	-
67	50	1	-1	1	Location67	21	TEXT205	TEXT302	9	-
