ID	poss	unlockLevel	mayaLocationName
1	1	1	Location3
2	1	2	Location6
3	1	2	Location7
4	1	2	Location8
5	1	2	Location9
6	1	4	Location10
7	1	4	Location11
8	1	4	Location12
9	1	4	Location13
10	1	7	Location14
11	1	7	Location15
12	1	7	Location16
13	1	7	Location17
14	1	7	Location18
15	1	10	Location19
16	1	10	Location20
17	1	10	Location21
18	1	10	Location22
19	1	13	Location23
20	1	13	Location24
21	1	13	Location25
22	1	13	Location26
23	1	16	Location43
24	1	16	Location44
25	1	16	Location45
26	1	16	Location46
27	1	16	Location47
28	1	19	Location27
29	1	19	Location28
30	1	19	Location29
31	1	19	Location30
32	1	19	Location31
33	1	22	Location32
34	1	22	Location33
35	1	22	Location34
36	1	22	Location35
37	1	22	Location36
38	1	25	Location37
39	1	25	Location38
40	1	25	Location39
41	1	25	Location40
42	1	25	Location41
43	1	25	Location42
44	1	30	Location48
45	1	30	Location49
46	1	30	Location50
47	1	30	Location51
48	1	99	Location3
49	1	99	Location3
50	1	99	Location3
51	1	99	Location3
52	1	99	Location3
53	1	99	Location3
54	1	99	Location3
55	1	99	Location3
56	1	99	Location3
57	1	99	Location3
58	1	99	Location3
59	1	99	Location3
60	1	99	Location3
61	1	3	Location5
62	1	7	Location3
63	1	13	Location1
