ID	Star	Title	Description	UnlockLevel	NumUpgrades	PriceSoft	PriceHard	ValueA	ValueB
1	0	TEXT71	TEXT151	3	9	160	2	0.1	0
0	1	0	0	0	0	320	4	0.2	0
0	2	0	0	0	0	480	4	0.3	0
0	3	0	0	0	0	1600	16	0.5	0
0	4	0	0	0	0	3200	32	0.7	0
0	5	0	0	0	0	4800	48	0.9	0
0	6	0	0	0	0	24000	160	1.3	0
0	7	0	0	0	0	48000	320	1.7	0
0	8	0	0	0	0	96000	480	2.1	0
0	9	0	0	0	0	192000	640	2.5	0
2	0	TEXT72	TEXT152	1	9	150	2	0.05	0
0	1	0	0	0	0	300	2	0.1	0
0	2	0	0	0	0	450	4	0.15	0
0	3	0	0	0	0	1500	14	0.2	0
0	4	0	0	0	0	3000	30	0.25	0
0	5	0	0	0	0	4500	44	0.3	0
0	6	0	0	0	0	6300	62	0.35	0
0	7	0	0	0	0	12600	84	0.4	0
0	8	0	0	0	0	21600	108	0.45	0
0	9	0	0	0	0	40500	134	0.5	0
3	0	TEXT73	TEXT153	1	9	200	2	0.05	0
0	1	0	0	0	0	400	4	0.1	0
0	2	0	0	0	0	600	6	0.15	0
0	3	0	0	0	0	2000	20	0.2	0
0	4	0	0	0	0	4000	40	0.25	0
0	5	0	0	0	0	6000	60	0.3	0
0	6	0	0	0	0	30000	200	0.35	0
0	7	0	0	0	0	80000	400	0.4	0
0	8	0	0	0	0	150000	600	0.45	0
0	9	0	0	0	0	320000	800	0.5	0
4	0	TEXT74	TEXT154	4	9	60	1	0.08	0
0	1	0	0	0	0	130	2	0.16	0
0	2	0	0	0	0	190	2	0.24	0
0	3	0	0	0	0	640	6	0.32	0
0	4	0	0	0	0	1280	12	0.4	0
0	5	0	0	0	0	1920	20	0.48	0
0	6	0	0	0	0	6400	64	0.56	0
0	7	0	0	0	0	19200	128	0.64	0
0	8	0	0	0	0	38400	192	0.72	0
0	9	0	0	0	0	64000	256	0.8	0
5	0	TEXT75	TEXT155	5	9	200	2	0.1	0.1
0	1	0	0	0	0	400	4	0.2	0.2
