level	exp	hp	stamina			
1	40	100	15			
2	160	120	16			
3	360	140	16			
4	680	160	18			
5	1040	180	18			
6	1440	200	19			
7	1600	220	20			
8	1880	240	20			
9	2480	260	21			
10	2880	280	22			
11	3680	300	22			
12	4200	320	23			
13	4600	340	24			
14	5320	360	24			
15	6560	380	24			
16	7360	400	25			
17	8840	420	25			
18	9840	440	25			
19	10800	460	26			
20	12200	480	26			
21	14320	500	26			
22	15920	520	27			
23	18440	540	27			
24	21200	560	27			
25	30000	580	27			
26	35000	600	27			
27	40000	620	27			
28	45000	640	27			
29	50000	660	27			
30	55000	680	28			
31	60000	700	28			
32	65000	720	28			
33	70000	740	28			
34	75000	760	28			
35	100000	780	28			
36	110000	800	28			
37	120000	820	28			
38	130000	840	28			
39	140000	860	28			
40	150000	880	29			
41	160000	900	29			
42	170000	920	29			
43	180000	940	29			
44	190000	960	29			
45	300000	980	29			
46	320000	1000	29			
47	340000	1020	29			
48	360000	1040	29			
49	380000	1060	29			
50	400000	1080	30			
51	420000	1100	30			
52	440000	1120	30			
53	460000	1140	30			
54	480000	1160	30			
55	600000	1180	30			
56	640000	1200	30			
57	680000	1220	30			
58	720000	1240	30			
59	760000	1260	30			
60	800000	1280	30			
