TEXT_ID	EN	CN	JP			
1	Arsenal	武器库	STORE			
2	Co-op	联机作战	PVP			
3	Back	返回	BACK			
4	Upgrade	升级	UPGRADE			
5	Equip	装备	EQUIP			
6	Ok	好滴	OK			
7	Buy	购买	BUY			
8	Dress Up	穿上	GET ON			
9	Take Off	脱下	TAKE OFF			
10	Try On	试穿	TRY ON			
11	EQUIPPED	已装备	EQUIPED			
12	OWNED	已拥有	OWNED			
13	Power	威力	POWER			
14	Medals	勋章	Medal			
15	Coins	钱币	Coin			
16	$	￥	￥			
17	DMG	伤害	DMG			
18	SPD	攻速	SPD			
19	Ammo	弹药	AMMO			
20	Enter	开战	Play			
21	Charge Stamina	补充体力	Charge Stamina			
22	Not enough Medals?#nGo to the shop to#ntop up! Please don't#nlet me down.	咦，勋章不够用了？#n快去商店充值吧~#n不要让人家失望哦~	Not Enough Medel?#nMove to Charge.			
23	Not enough Coins?#nGo to the shop to#ntop up! Please don't#nlet me down.	咦，钱币不够用了？#n快去商店充值吧~#n不要让人家失望哦~	Not Enough Coin?#nMove to Charge.			
24	Level Up	升级咯~	Level Up			
25	Refilled	再填充	Refilled			
26	Pause	暂停	Pause			
27	Resume	继续	Resume			
28	Quit	退出	Quit			
29	Cost	消耗	Cost			
30	Cancel	取消	CANCEL			
31	M1911 Desert Warrior	M1911沙漠勇士	Pistol_A			
32	USP45 Pistol	USP45自动手枪	Pistol_B			
33	M617 Revolver	M617左轮手枪	Pistol_C			
34	Thunder 50	Thunder50手炮	Pistol_D			
35	Nova Shotgun	NOVA改霰弹枪	Shotgun_A			
36	Remington M870	雷明顿M870	Shotgun_B			
37	Winchester 1887	温彻斯特M1887	Shotgun_C			
39	M4A1 Carbine	M4A1卡宾枪	Autogun_A			
40	SG-552 Commando	SG-552两用步枪	Autogun_B			
41	AK-47	AK-47突击步枪	Autogun_C			
42	M134 Minigun	M134迷你机枪	Autogun_D			
43	AWSM Sniper	AWSM远程狙击	Sniper_A			
44	L115A3 Sniper Rifle	L115A3狙击步枪	Sniper_B			
45	B50 Deer Rifle	B50猎鹿枪	Sniper_C			
46	Meteorite Sword	七星陨铁刀	Near_A			
47	Samurai Sword	山本夜影武士刀	Near_B			
