name	ID	star	damage	cd	ammo	price_soft	price_hard	display_fire_rate	display_power	unlock_level			
手枪C	1	0	14	0.1	90	1	1	6.7	13	1			
手枪C	1	1	17	0.1	95	50	1	6.7	16	1			
手枪C	1	2	21	0.1	99	100	1	6.7	21	1			
自动步枪C	7	0	35	0.12	120	2800	25	8.3	50	4			
自动步枪C	7	1	40	0.12	132	900	5	8.3	61	6			
自动步枪C	7	2	46	0.12	144	2100	10	8.3	75	6			
霰弹枪C	4	0	13	0.6	20	1	0	1.7	14	1			
霰弹枪C	4	1	17	0.6	20	1	0	1.7	18	1			
霰弹枪C	4	2	20	0.6	20	100	1	1.7	22	1			
近战C	18	0	20	0.3	1	50	1	2.9	8	1			
近战C	18	1	25	0.29	1	50	1	3	10	1			
近战C	18	2	35	0.28	1	100	1	3.1	15	1			
手枪B	2	0	25	0.1	80	650	5	6.7	25	3			
手枪B	2	1	31	0.1	84	300	1	6.7	32	3			
手枪B	2	2	37	0.1	88	600	5	6.7	40	3			
手枪B	2	3	43	0.1	92	950	5	6.7	47	3			
近战B	19	0	107	0.26	1	6600	35	3.3	51	9			
近战B	19	1	134	0.25	1	1800	10	3.5	64	9			
近战B	19	2	161	0.24	1	3600	20	3.6	78	9			
近战B	19	3	187	0.23	1	5350	25	3.8	92	9			
狙击枪C	10	0	225	0.6	12	1050	10	1	34	3			
狙击枪C	10	1	248	0.6	14	450	1	1	41	5			
狙击枪C	10	2	270	0.6	17	1050	5	1	52	5			
霰弹枪B	5	0	45	0.6	20	6550	35	1.7	56	10			
霰弹枪B	5	1	59	0.6	20	2000	10	1.7	74	10			
霰弹枪B	5	2	72	0.6	20	3900	20	1.7	90	10			
霰弹枪B	5	3	86	0.6	20	5950	30	1.7	108	10			
自动步枪B	8	0	55	0.13	104	11800	60	7.7	69	11			
自动步枪B	8	1	63	0.13	114	2600	15	7.7	84	11			
自动步枪B	8	2	72	0.13	125	5750	30	7.7	103	11			
自动步枪B	8	3	80	0.13	135	8950	45	7.7	121	11			
狙击枪B	11	0	480	0.6	12	13000	65	1	72	12			
狙击枪B	11	1	528	0.6	14	2850	15	1	88	12			
狙击枪B	11	2	576	0.6	17	6900	35	1	111	12			
狙击枪B	11	3	624	0.6	19	10500	55	1	130	12			
RPGB	15	0	612	0.83	10	15200	75	1.1	85	12			
RPGB	15	1	661	0.83	13	4250	20	1.1	109	12			
RPGB	15	2	710	0.83	17	9900	50	1.1	141	12			
RPGB	15	3	759	0.83	20	15050	75	1.1	169	12			
手枪A	3	0	110	0.1	80	39000	130	6.7	110	15			
手枪A	3	1	137	0.1	84	14500	40	6.7	142	15			
手枪A	3	2	164	0.1	88	23000	75	6.7	175	15			
手枪A	3	3	191	0.1	92	35500	120	6.7	210	15			
手枪A	3	4	218	0.1	96	49000	165	6.7	247	15			
手枪A	3	5	245	0.1	100	83500	210	6.7	286	15			
霰弹枪A	6	0	100	0.6	20	56000	185	1.7	125	16			
霰弹枪A	6	1	130	0.6	20	21500	55	1.7	163	16			
霰弹枪A	6	2	160	0.6	20	33500	110	1.7	200	16			
霰弹枪A	6	3	190	0.6	20	67500	170	1.7	238	16			
霰弹枪A	6	4	220	0.6	20	112500	225	1.7	275	16			
霰弹枪A	6	5	250	0.6	20	168500	280	1.7	313	16			
狙击枪A	12	0	1050	0.6	12	90000	300	1	157	17			
狙击枪A	12	1	1155	0.6	14	25000	65	1	193	17			
狙击枪A	12	2	1260	0.6	17	63500	160	1	242	17			
